id,x,y,z,type
732,-272.8,50.8,0.0,MM
733,231.6,51.6,0.0,MM
734,124.4,51.6,0.0,MM
735,-124.0,51.6,0.0,MM
736,-195.6,51.6,0.0,MM
737,164.4,52.4,0.0,MM
738,-232.0,52.4,0.0,MM
739,-318.8,52.4,0.0,MM
740,255.2,53.6,0.0,MM
741,-164.4,53.2,0.0,MM
742,113.6,54.0,0.0,MM
743,349.2,55.2,0.0,MM
744,302.8,55.2,0.0,MM
745,101.6,55.2,0.0,MM
746,52.4,55.2,0.0,MM
747,-52.0,55.2,0.0,MM
748,-113.2,54.4,0.0,MM
749,219.2,56.0,0.0,MM
750,153.2,56.0,0.0,MM
751,-254.8,56.0,0.0,MM
752,89.2,56.4,0.0,MM
753,-102.0,56.4,0.0,MM
754,-219.6,56.4,0.0,MM
755,63.2,57.2,0.0,MM
756,-63.2,57.6,0.0,MM
757,-89.2,57.2,0.0,MM
758,-152.8,56.8,0.0,MM
759,-302.8,57.2,0.0,MM
760,-348.4,57.2,0.0,MM
761,182.8,58.0,0.0,MM
762,142.0,58.0,0.0,MM
763,75.2,58.0,0.0,MM
